code,venue_count,categories,in_ap_continent,in_base_prices,in_airport_city,continent,city
SMN,1,skiing,NO,NO,NO,MISSING,MISSING
PBG,1,skiing,NO,NO,NO,MISSING,MISSING
MCO,1,surfing,NO,NO,YES,MISSING,Orlando
MLB,1,surfing,NO,NO,NO,MISSING,MISSING
ILM,1,surfing,NO,NO,NO,MISSING,MISSING
BMU,1,surfing,NO,NO,NO,MISSING,MISSING
WGP,1,surfing,NO,NO,NO,MISSING,MISSING
VGO,1,surfing,NO,NO,NO,MISSING,MISSING
CRM,1,surfing,NO,NO,NO,MISSING,MISSING
TRE,1,surfing,NO,NO,NO,MISSING,MISSING
ACA,1,surfing,NO,NO,NO,MISSING,MISSING
ARI,1,surfing,NO,NO,NO,MISSING,MISSING
IQQ,1,surfing,NO,NO,NO,MISSING,MISSING
VCP,1,surfing,NO,NO,NO,MISSING,MISSING
TFS,1,surfing,NO,NO,YES,MISSING,Tenerife
SAP,1,surfing,NO,NO,NO,MISSING,MISSING
DKR,1,surfing,NO,NO,NO,MISSING,MISSING
PDP,1,surfing,NO,NO,NO,MISSING,MISSING
CUR,1,tanning,NO,NO,NO,MISSING,MISSING
ELH,1,tanning,NO,NO,NO,MISSING,MISSING
SMR,1,tanning,NO,NO,NO,MISSING,MISSING
PAS,1,tanning,NO,NO,NO,MISSING,MISSING
TIA,1,tanning,NO,NO,NO,MISSING,MISSING
TLN,1,tanning,NO,NO,NO,MISSING,MISSING
FSC,1,tanning,NO,NO,NO,MISSING,MISSING
LMV,1,tanning,NO,NO,NO,MISSING,MISSING
TOD,1,tanning,NO,NO,NO,MISSING,MISSING
MMY,1,tanning,NO,NO,NO,MISSING,MISSING
ISG,1,tanning,NO,NO,NO,MISSING,MISSING
KHS,1,tanning,NO,NO,NO,MISSING,MISSING
FJR,1,tanning,NO,NO,NO,MISSING,MISSING
PXO,1,tanning,NO,NO,NO,MISSING,MISSING
TMS,1,tanning,NO,NO,NO,MISSING,MISSING
VRA,1,tanning,NO,NO,NO,MISSING,MISSING
CAP,1,tanning,NO,NO,NO,MISSING,MISSING
GYE,1,tanning,NO,NO,NO,MISSING,MISSING
CPO,1,tanning,NO,NO,NO,MISSING,MISSING
RGN,1,tanning,NO,NO,NO,MISSING,MISSING
KOS,1,tanning,NO,NO,NO,MISSING,MISSING
PKY,1,tanning,NO,NO,NO,MISSING,MISSING
LER,1,diving,NO,NO,NO,MISSING,MISSING
LDH,1,diving,NO,NO,NO,MISSING,MISSING
PZU,1,diving,NO,NO,NO,MISSING,MISSING
KBM,1,diving,NO,NO,NO,MISSING,MISSING
MBU,1,diving,NO,NO,NO,MISSING,MISSING
VDE,1,diving,NO,NO,YES,MISSING,Valverde
CYO,1,diving,NO,NO,NO,MISSING,MISSING
ARD,1,diving,NO,NO,NO,MISSING,MISSING
FVM,1,diving,NO,NO,NO,MISSING,MISSING
CLO,1,diving,NO,NO,NO,MISSING,MISSING
SCY,1,diving,NO,NO,NO,MISSING,MISSING
PNI,1,diving,NO,NO,NO,MISSING,MISSING
YAP,1,diving,NO,NO,NO,MISSING,MISSING
REK,1,diving,NO,NO,NO,MISSING,MISSING
LCA,1,diving,NO,NO,NO,MISSING,MISSING
ENE,1,diving,NO,NO,NO,MISSING,MISSING
WNI,1,diving,NO,NO,NO,MISSING,MISSING
TTT,1,diving,NO,NO,NO,MISSING,MISSING
MGZ,1,diving,NO,NO,NO,MISSING,MISSING
LNY,1,diving,NO,NO,NO,MISSING,MISSING
PBI,1,diving,NO,NO,YES,MISSING,West Palm Beach
FAV,1,diving,NO,NO,NO,MISSING,MISSING
XCH,1,diving,NO,NO,NO,MISSING,MISSING
CCK,1,diving,NO,NO,NO,MISSING,MISSING
XMN,1,diving,NO,NO,NO,MISSING,MISSING
ASM,1,diving,NO,NO,NO,MISSING,MISSING
YVA,1,diving,NO,NO,NO,MISSING,MISSING
MKW,1,diving,NO,NO,NO,MISSING,MISSING
BWN,1,diving,NO,NO,NO,MISSING,MISSING
HOG,1,diving,NO,NO,NO,MISSING,MISSING
STX,1,diving,NO,NO,NO,MISSING,MISSING
CFS,1,diving,NO,NO,NO,MISSING,MISSING
BEJ,1,diving,NO,NO,NO,MISSING,MISSING
BTJ,1,diving,NO,NO,YES,MISSING,Banda Aceh
SRG,1,diving,NO,NO,NO,MISSING,MISSING
LEX,1,climbing,NO,NO,NO,MISSING,MISSING
MTY,1,climbing,NO,NO,NO,MISSING,MISSING
CDG,1,climbing,NO,NO,NO,MISSING,MISSING
NUE,1,climbing,NO,NO,NO,MISSING,MISSING
MOL,1,climbing,NO,NO,NO,MISSING,MISSING
RAP,1,climbing,NO,NO,NO,MISSING,MISSING
IXL,1,climbing,NO,NO,NO,MISSING,MISSING
LHR,1,climbing,NO,NO,NO,MISSING,MISSING
BSB,1,climbing,NO,NO,NO,MISSING,MISSING
TWF,1,climbing,NO,NO,NO,MISSING,MISSING
TUS,1,climbing,NO,NO,YES,MISSING,Tucson
TYF,1,climbing,NO,NO,NO,MISSING,MISSING
MJV,1,climbing,NO,NO,NO,MISSING,MISSING
SWF,1,climbing,NO,NO,NO,MISSING,MISSING
HHQ,1,kite,NO,NO,NO,MISSING,MISSING
SKB,1,kite,NO,NO,NO,MISSING,MISSING
JEZ,1,kite,NO,NO,NO,MISSING,MISSING
OLB,1,kite,NO,NO,NO,MISSING,MISSING
FLF,1,kite,NO,NO,NO,MISSING,MISSING
AMS,1,kite,NO,NO,NO,MISSING,MISSING
GRQ,1,kite,NO,NO,NO,MISSING,MISSING
CKZ,1,kite,NO,NO,NO,MISSING,MISSING
AOK,1,kite,NO,NO,NO,MISSING,MISSING
RJK,1,kite,NO,NO,NO,MISSING,MISSING
UNI,1,kite,NO,NO,NO,MISSING,MISSING
PVD,1,kite,NO,NO,NO,MISSING,MISSING
IVC,1,kite,NO,NO,NO,MISSING,MISSING
PHE,1,kite,NO,NO,NO,MISSING,MISSING
FOC,1,kite,NO,NO,NO,MISSING,MISSING
CCS,1,kite,NO,NO,NO,MISSING,MISSING
RTM,1,kite,NO,NO,NO,MISSING,MISSING
CLY,1,kite,NO,NO,NO,MISSING,MISSING
ORD,1,kite,YES,YES,YES,na,Chicago
ADA,1,kite,NO,NO,NO,MISSING,MISSING
BJV,1,kite,NO,NO,NO,MISSING,MISSING
MFR,1,hiking,NO,NO,YES,MISSING,Medford
COD,1,hiking,NO,NO,NO,MISSING,MISSING
CAE,1,hiking,NO,NO,NO,MISSING,MISSING
IAD,1,hiking,NO,NO,NO,MISSING,MISSING
BNA,1,hiking,NO,NO,YES,MISSING,Nashville
PAU,1,hiking,NO,NO,NO,MISSING,MISSING
FKB,1,hiking,NO,NO,NO,MISSING,MISSING
GDQ,1,hiking,NO,NO,NO,MISSING,MISSING
SIN,1,hiking,NO,NO,NO,MISSING,MISSING
KUL,1,hiking,NO,NO,NO,MISSING,MISSING
DVO,1,hiking,NO,NO,NO,MISSING,MISSING
TPE,1,hiking,NO,NO,YES,MISSING,Taipei
LJG,1,hiking,NO,NO,NO,MISSING,MISSING
DYG,1,hiking,NO,NO,NO,MISSING,MISSING
FCO,1,hiking,NO,NO,NO,MISSING,MISSING
KSC,1,hiking,NO,NO,NO,MISSING,MISSING
KYA,1,hiking,NO,NO,NO,MISSING,MISSING
TZX,1,hiking,NO,NO,NO,MISSING,MISSING
PEM,1,hiking,NO,NO,NO,MISSING,MISSING
KGL,1,hiking,NO,NO,NO,MISSING,MISSING
UME,1,hiking,NO,NO,NO,MISSING,MISSING
IVL,1,hiking,NO,NO,NO,MISSING,MISSING
ASP,1,hiking,NO,NO,NO,MISSING,MISSING
HLT,1,hiking,NO,NO,NO,MISSING,MISSING
KKE,1,kayak,NO,NO,NO,MISSING,MISSING
GBZ,1,kayak,NO,NO,NO,MISSING,MISSING
AES,1,kayak,NO,NO,NO,MISSING,MISSING
MKQ,1,kayak,NO,NO,NO,MISSING,MISSING
YZT,1,kayak,NO,NO,NO,MISSING,MISSING
YPB,1,kayak,NO,NO,NO,MISSING,MISSING
TEF,1,kayak,NO,NO,NO,MISSING,MISSING
IST,1,kayak,NO,NO,NO,MISSING,MISSING
FHE,1,kayak,NO,NO,NO,MISSING,MISSING
GST,1,kayak,NO,NO,NO,MISSING,MISSING
KOJ,1,kayak,NO,NO,NO,MISSING,MISSING
YAZ,1,kayak,NO,NO,NO,MISSING,MISSING
JAF,1,kayak,NO,NO,NO,MISSING,MISSING
TTQ,1,kayak,NO,NO,NO,MISSING,MISSING
CLM,1,kayak,NO,NO,NO,MISSING,MISSING
OXR,1,kayak,NO,NO,NO,MISSING,MISSING
YOW,1,kayak,NO,NO,YES,MISSING,Ottawa
IXB,1,kayak,NO,NO,NO,MISSING,MISSING
COK,1,kayak,NO,NO,YES,MISSING,Kochi
RNN,1,kayak,NO,NO,NO,MISSING,MISSING
WAG,1,kayak,NO,NO,NO,MISSING,MISSING
MZB,1,kayak,NO,NO,NO,MISSING,MISSING
YQX,1,kayak,NO,NO,NO,MISSING,MISSING
LTO,1,kayak,NO,NO,NO,MISSING,MISSING
MQT,1,kayak,NO,NO,YES,MISSING,Mossel Bay
AXP,1,kayak,NO,NO,NO,MISSING,MISSING
YBG,1,kayak,NO,NO,NO,MISSING,MISSING
SLU,1,kayak,NO,NO,NO,MISSING,MISSING
LSI,1,kayak,NO,NO,NO,MISSING,MISSING
HVG,1,kayak,NO,NO,NO,MISSING,MISSING
SMM,1,kayak,NO,NO,NO,MISSING,MISSING
MDL,1,kayak,NO,NO,NO,MISSING,MISSING
BVE,1,kayak,NO,NO,NO,MISSING,MISSING
LCV,1,kayak,NO,NO,NO,MISSING,MISSING
MKK,1,kayak,NO,NO,NO,MISSING,MISSING
IKT,1,kayak,NO,NO,NO,MISSING,MISSING
BBA,1,kayak,NO,NO,NO,MISSING,MISSING
CJC,1,kayak,NO,NO,NO,MISSING,MISSING
MWZ,1,kayak,NO,NO,NO,MISSING,MISSING
MUB,1,kayak,NO,NO,NO,MISSING,MISSING
LVI,1,kayak,NO,NO,NO,MISSING,MISSING
HUN,1,kayak,NO,NO,NO,MISSING,MISSING
KBZ,1,kayak,NO,NO,NO,MISSING,MISSING
EGS,1,kayak,NO,NO,NO,MISSING,MISSING
FLR,1,mtb,NO,NO,NO,MISSING,MISSING
LWB,1,mtb,NO,NO,NO,MISSING,MISSING
SIL,1,mtb,NO,NO,NO,MISSING,MISSING
MSO,1,mtb,NO,NO,NO,MISSING,MISSING
HOM,1,mtb,NO,NO,NO,MISSING,MISSING
MAD,1,mtb,NO,NO,NO,MISSING,MISSING
WLG,1,mtb,NO,NO,NO,MISSING,MISSING
GOT,1,mtb,NO,NO,NO,MISSING,MISSING
YQB,1,mtb,NO,NO,NO,MISSING,MISSING
YUL,1,mtb,NO,NO,YES,MISSING,Montreal
YQL,1,mtb,NO,NO,NO,MISSING,MISSING
YRV,1,mtb,NO,NO,NO,MISSING,MISSING
PEI,1,mtb,NO,NO,NO,MISSING,MISSING
KAM,1,mtb,NO,NO,NO,MISSING,MISSING
CUU,1,mtb,NO,NO,NO,MISSING,MISSING
GDL,1,mtb,NO,NO,NO,MISSING,MISSING
PSA,1,mtb,YES,NO,NO,europe,MISSING
EWR,1,mtb,NO,NO,YES,MISSING,Newark
RUT,1,mtb,NO,NO,NO,MISSING,MISSING
NCL,1,mtb,NO,NO,NO,MISSING,MISSING
STS,1,mtb,NO,NO,NO,MISSING,MISSING
KTN,1,fishing,NO,NO,NO,MISSING,MISSING
VDZ,1,fishing,NO,NO,NO,MISSING,MISSING
YBL,1,fishing,NO,NO,NO,MISSING,MISSING
YXT,1,fishing,NO,NO,NO,MISSING,MISSING
YYB,1,fishing,NO,NO,NO,MISSING,MISSING
YQT,1,fishing,NO,NO,NO,MISSING,MISSING
RSW,1,fishing,NO,NO,YES,MISSING,Fort Myers
BHB,1,fishing,NO,NO,NO,MISSING,MISSING
ASD,1,fishing,NO,NO,NO,MISSING,MISSING
XQP,1,fishing,NO,NO,NO,MISSING,MISSING
CBL,1,fishing,NO,NO,NO,MISSING,MISSING
TDD,1,fishing,NO,NO,NO,MISSING,MISSING
AEY,1,fishing,NO,NO,NO,MISSING,MISSING
ALF,1,fishing,NO,NO,NO,MISSING,MISSING
PKC,1,fishing,NO,NO,NO,MISSING,MISSING
DRW,1,fishing,NO,NO,NO,MISSING,MISSING
MYD,1,fishing,NO,NO,NO,MISSING,MISSING
GES,1,fishing,NO,NO,NO,MISSING,MISSING
KVG,1,fishing,NO,NO,NO,MISSING,MISSING
RES,1,fishing,NO,NO,NO,MISSING,MISSING
HOR,1,fishing,NO,NO,NO,MISSING,MISSING
MEC,1,fishing,NO,NO,YES,MISSING,Manta
PBM,1,fishing,NO,NO,NO,MISSING,MISSING
GEO,1,fishing,NO,NO,NO,MISSING,MISSING
VER,1,fishing,NO,NO,NO,MISSING,MISSING
GZO,1,fishing,NO,NO,NO,MISSING,MISSING
CXI,1,fishing,NO,NO,NO,MISSING,MISSING
HAH,1,fishing,NO,NO,NO,MISSING,MISSING
PNH,1,fishing,NO,NO,NO,MISSING,MISSING
ODE,1,fishing,NO,NO,NO,MISSING,MISSING
KJA,1,fishing,NO,NO,NO,MISSING,MISSING
JAV,1,fishing,NO,NO,NO,MISSING,MISSING
TOG,1,fishing,NO,NO,NO,MISSING,MISSING
YSB,1,fishing,NO,NO,NO,MISSING,MISSING
XSC,1,fishing,NO,NO,NO,MISSING,MISSING
CPR,1,fishing,NO,NO,NO,MISSING,MISSING
IDA,1,fishing,NO,NO,NO,MISSING,MISSING
YKM,1,fishing,NO,NO,NO,MISSING,MISSING
ACV,1,fishing,NO,NO,YES,MISSING,Arcata
TRI,1,fishing,NO,NO,NO,MISSING,MISSING
RGL,1,fishing,NO,NO,NO,MISSING,MISSING
LDX,1,fishing,NO,NO,NO,MISSING,MISSING
LPL,1,fishing,NO,NO,NO,MISSING,MISSING
BES,1,fishing,NO,NO,NO,MISSING,MISSING
TKD,1,fishing,NO,NO,NO,MISSING,MISSING
SWP,1,fishing,NO,NO,NO,MISSING,MISSING
LAD,1,fishing,NO,NO,NO,MISSING,MISSING
GMP,1,fishing,NO,NO,NO,MISSING,MISSING
SYX,1,fishing,NO,NO,NO,MISSING,MISSING
ILI,1,fishing,NO,NO,NO,MISSING,MISSING
CKD,1,fishing,NO,NO,NO,MISSING,MISSING
ESM,1,fishing,NO,NO,NO,MISSING,MISSING
DRK,1,fishing,NO,NO,NO,MISSING,MISSING
DEL,1,fishing,NO,NO,NO,MISSING,MISSING
BET,1,fishing,NO,NO,NO,MISSING,MISSING
PNQ,1,paraglide,NO,NO,NO,MISSING,MISSING
IXD,1,paraglide,NO,NO,NO,MISSING,MISSING
JMO,1,paraglide,NO,NO,NO,MISSING,MISSING
CFE,1,paraglide,NO,NO,NO,MISSING,MISSING
MEX,1,paraglide,NO,NO,NO,MISSING,MISSING
CHA,1,paraglide,NO,NO,NO,MISSING,MISSING
VOL,1,paraglide,NO,NO,NO,MISSING,MISSING
LRS,1,paraglide,NO,NO,NO,MISSING,MISSING
LPB,1,paraglide,NO,NO,NO,MISSING,MISSING
KTM,1,paraglide,YES,NO,NO,asia,MISSING
RAI,1,paraglide,NO,NO,NO,MISSING,MISSING
MSU,1,paraglide,NO,NO,NO,MISSING,MISSING
LLI,1,paraglide,NO,NO,NO,MISSING,MISSING
FRU,1,paraglide,NO,NO,NO,MISSING,MISSING
RMQ,1,paraglide,NO,NO,NO,MISSING,MISSING
DLI,1,paraglide,NO,NO,NO,MISSING,MISSING
PBH,1,paraglide,YES,NO,NO,asia,MISSING
AUH,1,paraglide,NO,NO,NO,MISSING,MISSING
CGR,1,paraglide,NO,NO,NO,MISSING,MISSING
OMO,1,paraglide,NO,NO,NO,MISSING,MISSING
SJJ,1,paraglide,NO,NO,NO,MISSING,MISSING
SKP,1,paraglide,NO,NO,NO,MISSING,MISSING
EVN,1,paraglide,NO,NO,NO,MISSING,MISSING
GYD,1,paraglide,NO,NO,NO,MISSING,MISSING
ALA,1,paraglide,NO,NO,NO,MISSING,MISSING
DYU,1,paraglide,NO,NO,NO,MISSING,MISSING
TAS,1,paraglide,NO,NO,NO,MISSING,MISSING
KBL,1,paraglide,NO,NO,NO,MISSING,MISSING
ADD,1,paraglide,NO,NO,NO,MISSING,MISSING
ARK,1,paraglide,NO,NO,NO,MISSING,MISSING
GOH,1,paraglide,NO,NO,NO,MISSING,MISSING
HAV,1,paraglide,YES,NO,NO,na,MISSING
SDQ,1,paraglide,NO,NO,NO,MISSING,MISSING
PPG,1,paraglide,NO,NO,NO,MISSING,MISSING
IPC,1,paraglide,NO,NO,NO,MISSING,MISSING
POM,1,paraglide,NO,NO,NO,MISSING,MISSING
DNZ,1,paraglide,NO,NO,NO,MISSING,MISSING
IOA,1,paraglide,NO,NO,NO,MISSING,MISSING
FAT,1,paraglide,NO,NO,NO,MISSING,MISSING
